seed	condition_id	coverage	error_model	method	total_error_rate_supplied	exit_code	runtime_seconds	peak_rss_mib	cpu_user_seconds	cpu_system_seconds	timed_out	status
6302	condition_002	1	iid_low_indel	empirical_controls_plus_oracle_error	0.003	0	1.1499717920087278	51.046875	1.095995	0.022591	False	ok
6302	condition_003	1	iid_high_indel	baseline_total_bases	NA	0	0.46924533415585756	50.375	0.425289	0.020627	False	ok
6302	condition_003	1	iid_high_indel	oracle_error_survival	0.02	0	1.1056061659473926	51.140625	1.042531	0.021145999999999998	False	ok
6302	condition_003	1	iid_high_indel	empirical_controls	NA	0	0.5354790838900954	49.84375	0.47079499999999996	0.020982999999999998	False	ok
6302	condition_003	1	iid_high_indel	empirical_controls_plus_oracle_error	0.02	0	1.1437162500806153	50.921875	1.074638	0.021122	False	ok
6302	condition_004	5	error_free	baseline_total_bases	NA	0	1.5580977080389857	77.6875	1.498386	0.030237	False	ok
6302	condition_004	5	error_free	oracle_error_survival	0.0	0	4.643610249971971	74.78125	4.574782	0.033853999999999995	False	ok
6302	condition_004	5	error_free	empirical_controls	NA	0	1.7474030000157654	76.578125	1.68527	0.030624	False	ok
6302	condition_004	5	error_free	empirical_controls_plus_oracle_error	0.0	0	4.751353916944936	77.0625	4.661505	0.034466	False	ok
6302	condition_005	5	iid_low_indel	baseline_total_bases	NA	0	1.5891012498177588	83.9375	1.529266	0.030965	False	ok
6302	condition_005	5	iid_low_indel	oracle_error_survival	0.003	0	4.531251542037353	76.40625	4.446672	0.033950999999999995	False	ok
6302	condition_005	5	iid_low_indel	empirical_controls	NA	0	1.8814108751248568	72.4375	1.8161749999999999	0.031403	False	ok
6302	condition_005	5	iid_low_indel	empirical_controls_plus_oracle_error	0.003	0	4.997853666078299	81.421875	4.881985	0.041069999999999995	False	ok
6302	condition_006	5	iid_high_indel	baseline_total_bases	NA	0	1.4952845829539	80.59375	1.410114	0.029141	False	ok
6302	condition_006	5	iid_high_indel	oracle_error_survival	0.02	0	4.778786625014618	80.59375	4.709457	0.034395999999999996	False	ok
6302	condition_006	5	iid_high_indel	empirical_controls	NA	0	1.95670137507841	75.3125	1.894153	0.029539	False	ok
6302	condition_006	5	iid_high_indel	empirical_controls_plus_oracle_error	0.02	0	4.9736468330956995	80.484375	4.903376	0.033853999999999995	False	ok
6302	condition_007	20	error_free	baseline_total_bases	NA	0	5.212025458924472	87.078125	5.092683	0.062426999999999996	False	ok
6302	condition_007	20	error_free	oracle_error_survival	0.0	0	17.511955459136516	89.265625	17.335839	0.077362	False	ok
6302	condition_007	20	error_free	empirical_controls	NA	0	6.880145542090759	97.703125	6.745709	0.064037	False	ok
6302	condition_007	20	error_free	empirical_controls_plus_oracle_error	0.0	0	19.342504624975845	89.65625	19.18348	0.079056	False	ok
6302	condition_008	20	iid_low_indel	baseline_total_bases	NA	0	5.179627584060654	100.5	5.0654	0.059405	False	ok
6302	condition_008	20	iid_low_indel	oracle_error_survival	0.003	0	18.27975937514566	95.578125	18.122377	0.078693	False	ok
6302	condition_008	20	iid_low_indel	empirical_controls	NA	0	6.022720207925886	105.484375	5.9122959999999996	0.06373	False	ok
6302	condition_008	20	iid_low_indel	empirical_controls_plus_oracle_error	0.003	0	19.62150379200466	97.609375	19.446566	0.079995	False	ok
6302	condition_009	20	iid_high_indel	baseline_total_bases	NA	0	5.233511458849534	97.203125	5.124755	0.059917	False	ok
6302	condition_009	20	iid_high_indel	oracle_error_survival	0.02	0	18.20768600003794	105.078125	18.050622	0.077249	False	ok
6302	condition_009	20	iid_high_indel	empirical_controls	NA	0	7.236995375016704	81.875	7.130399	0.062042	False	ok
6302	condition_009	20	iid_high_indel	empirical_controls_plus_oracle_error	0.02	0	19.2656058750581	83.671875	19.120047	0.07675	False	ok
6303	condition_001	1	error_free	baseline_total_bases	NA	0	0.45869704196229577	53.375	0.389565	0.020028	False	ok
6303	condition_001	1	error_free	oracle_error_survival	0.0	0	1.0953861670568585	51.9375	1.03537	0.021159999999999998	False	ok
6303	condition_001	1	error_free	empirical_controls	NA	0	0.5040009999647737	54.734375	0.433469	0.020819	False	ok
6303	condition_001	1	error_free	empirical_controls_plus_oracle_error	0.0	0	1.147835916141048	51.296875	1.094706	0.020631	False	ok
6303	condition_002	1	iid_low_indel	baseline_total_bases	NA	0	0.43985787499696016	52.40625	0.393381	0.019478	False	ok
6303	condition_002	1	iid_low_indel	oracle_error_survival	0.003	0	1.0576161660719663	50.578125	1.005517	0.020183	False	ok
6303	condition_002	1	iid_low_indel	empirical_controls	NA	0	0.5169628749135882	54.5625	0.477537	0.020252	False	ok
6303	condition_002	1	iid_low_indel	empirical_controls_plus_oracle_error	0.003	0	1.1534273750148714	51.421875	1.101124	0.021328	False	ok
