coverage	substitution_rate	total_family_conditions	estimates_available	intervals_available	intervals_unavailable	mean_signed_relative_error	mean_absolute_relative_error	mean_estimator_minus_oracle	conditional_interval_coverage	mean_available_interval_relative_width
1	0	9	9	0	9	-0.26003213737161723	0.5248051426984259	-0.0024263843625636342	NA	NA
1	0.001	9	9	0	9	-0.27400100415401757	0.516730719214074	-0.01639525114496401	NA	NA
1	0.01	9	9	0	9	-0.4053546774447292	0.4803536907168036	-0.14774892443567567	NA	NA
5	0	9	9	4	5	0.01047643332790355	0.1703427886309115	-0.004479476373007779	0.75	0.5341092297330463
5	0.001	9	9	4	5	-0.01025599503068484	0.16759978059264297	-0.02521190473159617	0.75	0.5237451107769305
5	0.01	9	9	4	5	-0.17491345628126057	0.23924068759297565	-0.18986936598217188	0.25	0.4311817362033089
20	0	9	9	7	2	0.012520599740550779	0.13131496523630887	-0.005182419207435029	1	0.41654221748401155
20	0.001	9	9	7	2	-0.00795454030632371	0.12789904879413339	-0.025657559254309518	0.8571428571428571	0.40762241056644133
20	0.01	9	9	7	2	-0.17973842928009226	0.17973842928009226	-0.19744144822807808	0.5714285714285714	0.3372586590435078
