seed	coverage	substitution_rate	family_id	truth_copies	estimate	signed_relative_error	absolute_relative_error	sampling_oracle_copy_estimate	estimator_minus_sampling_oracle	interval_available	interval_contains_truth	interval_relative_width	interval_status
4101	1	0	f1	20	0.0	-1.0	1.0	0.0	0.0	False	NA	NA	no_observed_support_not_absence
4101	1	0	f2	80	42.59848751732174	-0.46751890603347823	0.46751890603347823	42.76574853801169	-0.002090762758624365	False	NA	NA	insufficient_effective_reads
4101	1	0	f3	200	178.95762265211692	-0.10521188673941538	0.10521188673941538	179.0410296912114	-0.0004170351954724083	False	NA	NA	insufficient_effective_reads
4101	1	0.001	f1	20	0.0	-1.0	1.0	0.0	0.0	False	NA	NA	no_observed_support_not_absence
4101	1	0.001	f2	80	41.862015312713815	-0.4767248085910773	0.4767248085910773	42.76574853801169	-0.011296665316223465	False	NA	NA	insufficient_effective_reads
4101	1	0.001	f3	200	175.49380419539307	-0.12253097902303466	0.12253097902303466	179.0410296912114	-0.01773612747909169	False	NA	NA	insufficient_effective_reads
4101	1	0.01	f1	20	0.0	-1.0	1.0	0.0	0.0	False	NA	NA	no_observed_support_not_absence
4101	1	0.01	f2	80	34.71940393151631	-0.5660074508560461	0.5660074508560461	42.76574853801169	-0.10057930758119227	False	NA	NA	insufficient_effective_reads
4101	1	0.01	f3	200	144.47375487698704	-0.27763122561506476	0.27763122561506476	179.0410296912114	-0.17283637407112182	False	NA	NA	insufficient_effective_reads
4101	5	0	f1	20	16.651987305015574	-0.16740063474922132	0.16740063474922132	16.851086580443198	-0.00995496377138121	False	NA	NA	insufficient_effective_reads
4101	5	0	f2	80	75.65508677278878	-0.05431141534014028	0.05431141534014028	75.76319903611625	-0.0013514032915933783	False	NA	NA	insufficient_effective_reads
4101	5	0	f3	200	191.90542784416579	-0.040472860779171074	0.040472860779171074	191.9439117201208	-0.00019241937977511724	True	True	0.3172376355478744	approximate_95pct_read_cluster_normal
4101	5	0.001	f1	20	16.33581033086969	-0.18320948345651544	0.18320948345651544	16.851086580443198	-0.02576381247867534	False	NA	NA	insufficient_effective_reads
4101	5	0.001	f2	80	74.11364698265461	-0.07357941271681731	0.07357941271681731	75.76319903611625	-0.020619400668270414	False	NA	NA	insufficient_effective_reads
4101	5	0.001	f3	200	187.99042216202452	-0.060047889189877426	0.060047889189877426	191.9439117201208	-0.01976744779048147	True	True	0.3107577271400271	approximate_95pct_read_cluster_normal
4101	5	0.01	f1	20	14.6791747267511	-0.266041263662445	0.266041263662445	16.851086580443198	-0.1085955926846049	False	NA	NA	insufficient_effective_reads
4101	5	0.01	f2	80	61.776254272137194	-0.22779682159828507	0.22779682159828507	75.76319903611625	-0.17483680954973818	False	NA	NA	insufficient_effective_reads
4101	5	0.01	f3	200	156.35398850800956	-0.21823005745995216	0.21823005745995216	191.9439117201208	-0.17794961606055623	True	False	0.25858629045224857	approximate_95pct_read_cluster_normal
4101	20	0	f1	20	15.676284923862276	-0.21618575380688618	0.21618575380688618	15.895688689348383	-0.010970188274305315	False	NA	NA	insufficient_effective_reads
4101	20	0	f2	80	97.31278577532919	0.21640982219161486	0.21640982219161486	97.42641878985572	-0.0014204126815815954	True	True	0.5291419987395717	approximate_95pct_read_cluster_normal
4101	20	0	f3	200	203.1876734668625	0.01593836733431246	0.01593836733431246	203.2353311689087	-0.00023828851023097286	True	True	0.159422656648388	approximate_95pct_read_cluster_normal
4101	20	0.001	f1	20	15.355167684495365	-0.23224161577523175	0.23224161577523175	15.895688689348383	-0.027026050242650878	False	NA	NA	insufficient_effective_reads
4101	20	0.001	f2	80	95.35690780991318	0.19196134762391476	0.19196134762391476	97.42641878985572	-0.025868887249281693	True	True	0.5182275692320595	approximate_95pct_read_cluster_normal
4101	20	0.001	f3	200	198.99672287544723	-0.005016385622763835	0.005016385622763835	203.2353311689087	-0.02119304146730727	True	True	0.15612166474790626	approximate_95pct_read_cluster_normal
4101	20	0.01	f1	20	12.745884270254995	-0.3627057864872502	0.3627057864872502	15.895688689348383	-0.15749022095466936	False	NA	NA	insufficient_effective_reads
4101	20	0.01	f2	80	79.41498973649057	-0.007312628293867895	0.007312628293867895	97.42641878985572	-0.22514286316706436	True	True	0.43169569307630873	approximate_95pct_read_cluster_normal
4101	20	0.01	f3	200	164.7898140743266	-0.17605092962836694	0.17605092962836694	203.2353311689087	-0.19222758547291036	True	False	0.12938569502373526	approximate_95pct_read_cluster_normal
4102	1	0	f1	20	0.0	-1.0	1.0	0.0	0.0	False	NA	NA	no_observed_support_not_absence
4102	1	0	f2	80	116.77760457033106	0.4597200571291383	0.4597200571291383	116.89265789473683	-0.0014381665550720513	False	NA	NA	insufficient_effective_reads
4102	1	0	f3	200	225.34525036009404	0.1267262518004702	0.1267262518004702	225.38971258907364	-0.00022231114489798642	False	NA	NA	insufficient_effective_reads
4102	1	0.001	f1	20	0.0	-1.0	1.0	0.0	0.0	False	NA	NA	no_observed_support_not_absence
4102	1	0.001	f2	80	115.05916942624589	0.4382396178280736	0.4382396178280736	116.89265789473683	-0.022918605856136764	False	NA	NA	insufficient_effective_reads
4102	1	0.001	f3	200	221.36862533266955	0.10684312666334776	0.10684312666334776	225.38971258907364	-0.020105436282020436	False	NA	NA	insufficient_effective_reads
4102	1	0.01	f1	20	0.0	-1.0	1.0	0.0	0.0	False	NA	NA	no_observed_support_not_absence
4102	1	0.01	f2	80	93.34492942530585	0.16681161781632312	0.16681161781632312	116.89265789473683	-0.29434660586788725	False	NA	NA	insufficient_effective_reads
4102	1	0.01	f3	200	182.55439096051228	-0.0872280451974386	0.0872280451974386	225.38971258907364	-0.2141766081428068	False	NA	NA	insufficient_effective_reads
4102	5	0	f1	20	11.866517060912015	-0.40667414695439924	0.40667414695439924	12.00603015075377	-0.006975654492087724	False	NA	NA	insufficient_effective_reads
4102	5	0	f2	80	89.5903134121038	0.11987891765129746	0.11987891765129746	89.64385494725089	-0.0006692691893386282	False	NA	NA	insufficient_effective_reads
4102	5	0	f3	200	207.40844949162314	0.037042247458115726	0.037042247458115726	207.4604936798004	-0.0002602209408863132	True	True	0.31931812011402544	approximate_95pct_read_cluster_normal
4102	5	0.001	f1	20	11.728189634723188	-0.4135905182638406	0.4135905182638406	12.00603015075377	-0.013892025801529062	False	NA	NA	insufficient_effective_reads
4102	5	0.001	f2	80	87.71520830154427	0.09644010376930331	0.09644010376930331	89.64385494725089	-0.024108083071332765	False	NA	NA	insufficient_effective_reads
4102	5	0.001	f3	200	203.47865039454433	0.01739325197272166	0.01739325197272166	207.4604936798004	-0.01990921642628038	True	True	0.31333359869245414	approximate_95pct_read_cluster_normal
4102	5	0.01	f1	20	9.873943421763425	-0.5063028289118288	0.5063028289118288	12.00603015075377	-0.10660433644951724	False	NA	NA	insufficient_effective_reads
4102	5	0.01	f2	80	72.8624020310594	-0.08921997461175746	0.08921997461175746	89.64385494725089	-0.20976816145239355	False	NA	NA	insufficient_effective_reads
4102	5	0.01	f3	200	168.69646863513285	-0.15651765682433577	0.15651765682433577	207.4604936798004	-0.1938201252233378	True	False	0.2600459485773138	approximate_95pct_read_cluster_normal
4102	20	0	f1	20	14.974767262476131	-0.2512616368761934	0.2512616368761934	15.230600543702117	-0.01279166406129928	False	NA	NA	insufficient_effective_reads
4102	20	0	f2	80	80.40394319940634	0.005049289992579276	0.005049289992579276	80.48603896676364	-0.0010261970919662744	True	True	0.4832800651290302	approximate_95pct_read_cluster_normal
4102	20	0	f3	200	201.28302129367268	0.006415106468363376	0.006415106468363376	201.33247520261642	-0.00024726954471873344	True	True	0.15980096729797366	approximate_95pct_read_cluster_normal
4102	20	0.001	f1	20	14.833969703676786	-0.2583015148161607	0.2583015148161607	15.230600543702117	-0.019831542001266557	False	NA	NA	insufficient_effective_reads
4102	20	0.001	f2	80	78.84899231355077	-0.014387596080615416	0.014387596080615416	80.48603896676364	-0.020463083165160968	True	True	0.47381997169996487	approximate_95pct_read_cluster_normal
4102	20	0.001	f3	200	197.03086891304062	-0.014845655434796896	0.014845655434796896	201.33247520261642	-0.021508031447879005	True	True	0.15644019997526612	approximate_95pct_read_cluster_normal
4102	20	0.01	f1	20	12.21974602421538	-0.38901269878923095	0.38901269878923095	15.230600543702117	-0.15054272597433682	False	NA	NA	insufficient_effective_reads
4102	20	0.01	f2	80	65.17223880977656	-0.185347014877793	0.185347014877793	80.48603896676364	-0.19142250196233856	True	True	0.39195856481987024	approximate_95pct_read_cluster_normal
4102	20	0.01	f3	200	163.3051040025855	-0.18347447998707253	0.18347447998707253	201.33247520261642	-0.19013685600015465	True	False	0.1298327740916355	approximate_95pct_read_cluster_normal
4103	1	0	f1	20	0.8192606491539937	-0.9590369675423004	0.9590369675423004	1.1423770491803278	-0.016155820001316705	False	NA	NA	insufficient_effective_reads
4103	1	0	f2	80	114.91888900632057	0.4364861125790071	0.4364861125790071	115.03555555555555	-0.0014583318654372234	False	NA	NA	insufficient_effective_reads
4103	1	0	f3	200	233.70922049240468	0.16854610246202342	0.16854610246202342	233.72022684085508	-5.5031742251969715e-05	False	NA	NA	insufficient_effective_reads
4103	1	0.001	f1	20	0.8192606491539937	-0.9590369675423004	0.9590369675423004	1.1423770491803278	-0.016155820001316705	False	NA	NA	insufficient_effective_reads
4103	1	0.001	f2	80	112.17173078278309	0.40214663478478857	0.40214663478478857	115.03555555555555	-0.035797809659655754	False	NA	NA	insufficient_effective_reads
4103	1	0.001	f3	200	229.01086769880882	0.14505433849404412	0.14505433849404412	233.72022684085508	-0.023546795710231265	False	NA	NA	insufficient_effective_reads
4103	1	0.01	f1	20	0.04915563894923958	-0.997542218052538	0.997542218052538	1.1423770491803278	-0.05466107051155441	False	NA	NA	insufficient_effective_reads
