panel	statistic	x	y	method	coverage	error	divergence	n	seed	status	family_id	condition_id
A	mean_signed_error_percent	5	-56.55185508457069	mean_k21_exposure	20	iid_high_indel	0.02	81	NA	NA	NA	NA
A	genome_mean_signed_error_percent	5	-57.17687369146201	mean_k21_exposure	NA	iid_high_indel	0.02	NA	6301	NA	NA	NA
A	genome_mean_signed_error_percent	5	-55.62426054191116	mean_k21_exposure	NA	iid_high_indel	0.02	NA	6302	NA	NA	NA
A	genome_mean_signed_error_percent	5	-56.85443102033889	mean_k21_exposure	NA	iid_high_indel	0.02	NA	6303	NA	NA	NA
A	mean_signed_error_percent	0	1.5096691484962372	multik_loglinear	20	error_free	0	81	NA	NA	NA	NA
A	genome_mean_signed_error_percent	0	3.065908253938511	multik_loglinear	NA	error_free	0	NA	6301	NA	NA	NA
A	genome_mean_signed_error_percent	0	-5.812960342499512	multik_loglinear	NA	error_free	0	NA	6302	NA	NA	NA
A	genome_mean_signed_error_percent	0	7.276059534049713	multik_loglinear	NA	error_free	0	NA	6303	NA	NA	NA
A	mean_signed_error_percent	1	1.7767740217820123	multik_loglinear	20	iid_low_indel	0	81	NA	NA	NA	NA
A	genome_mean_signed_error_percent	1	3.3506060801524242	multik_loglinear	NA	iid_low_indel	0	NA	6301	NA	NA	NA
A	genome_mean_signed_error_percent	1	-5.56825732164412	multik_loglinear	NA	iid_low_indel	0	NA	6302	NA	NA	NA
A	genome_mean_signed_error_percent	1	7.547973306837734	multik_loglinear	NA	iid_low_indel	0	NA	6303	NA	NA	NA
A	mean_signed_error_percent	2	2.7866322787875983	multik_loglinear	20	iid_high_indel	0	81	NA	NA	NA	NA
A	genome_mean_signed_error_percent	2	4.3840506307281775	multik_loglinear	NA	iid_high_indel	0	NA	6301	NA	NA	NA
A	genome_mean_signed_error_percent	2	-4.672755127068659	multik_loglinear	NA	iid_high_indel	0	NA	6302	NA	NA	NA
A	genome_mean_signed_error_percent	2	8.648601332703278	multik_loglinear	NA	iid_high_indel	0	NA	6303	NA	NA	NA
A	mean_signed_error_percent	3	0.2777080325130371	multik_loglinear	20	error_free	0.02	81	NA	NA	NA	NA
A	genome_mean_signed_error_percent	3	-1.0705273075067707	multik_loglinear	NA	error_free	0.02	NA	6301	NA	NA	NA
A	genome_mean_signed_error_percent	3	1.679633857004767	multik_loglinear	NA	error_free	0.02	NA	6302	NA	NA	NA
A	genome_mean_signed_error_percent	3	0.2240175480411151	multik_loglinear	NA	error_free	0.02	NA	6303	NA	NA	NA
A	mean_signed_error_percent	4	0.5518726879415726	multik_loglinear	20	iid_low_indel	0.02	81	NA	NA	NA	NA
A	genome_mean_signed_error_percent	4	-0.7787591919210509	multik_loglinear	NA	iid_low_indel	0.02	NA	6301	NA	NA	NA
A	genome_mean_signed_error_percent	4	1.9281176862861946	multik_loglinear	NA	iid_low_indel	0.02	NA	6302	NA	NA	NA
A	genome_mean_signed_error_percent	4	0.5062595694595743	multik_loglinear	NA	iid_low_indel	0.02	NA	6303	NA	NA	NA
A	mean_signed_error_percent	5	1.589619269085495	multik_loglinear	20	iid_high_indel	0.02	81	NA	NA	NA	NA
A	genome_mean_signed_error_percent	5	0.49107787187964036	multik_loglinear	NA	iid_high_indel	0.02	NA	6301	NA	NA	NA
A	genome_mean_signed_error_percent	5	2.862399604442266	multik_loglinear	NA	iid_high_indel	0.02	NA	6302	NA	NA	NA
A	genome_mean_signed_error_percent	5	1.4153803309345787	multik_loglinear	NA	iid_high_indel	0.02	NA	6303	NA	NA	NA
B	complete_pair_mean_absolute_error_percent	1	49.346248630136984	native_median_k21	NA	NA	NA	73	NA	NA	NA	NA
B	complete_pair_mean_absolute_error_percent	5	53.579547222222224	native_median_k21	NA	NA	NA	81	NA	NA	NA	NA
B	complete_pair_mean_absolute_error_percent	20	56.5864925925926	native_median_k21	NA	NA	NA	81	NA	NA	NA	NA
B	complete_pair_mean_absolute_error_percent	1	49.56090152005532	mean_k21_exposure	NA	NA	NA	73	NA	NA	NA	NA
B	complete_pair_mean_absolute_error_percent	5	53.48337165504664	mean_k21_exposure	NA	NA	NA	81	NA	NA	NA	NA
B	complete_pair_mean_absolute_error_percent	20	56.55185508457069	mean_k21_exposure	NA	NA	NA	81	NA	NA	NA	NA
B	complete_pair_mean_absolute_error_percent	1	57.01764195735082	multik_loglinear	NA	NA	NA	73	NA	NA	NA	NA
B	complete_pair_mean_absolute_error_percent	5	28.819297166751763	multik_loglinear	NA	NA	NA	81	NA	NA	NA	NA
B	complete_pair_mean_absolute_error_percent	20	13.529203443736924	multik_loglinear	NA	NA	NA	81	NA	NA	NA	NA
C	paired_outcome_count	0	243	NA	1	NA	NA	495	NA	Lower error	NA	NA
C	paired_outcome_count	1	324	NA	5	NA	NA	495	NA	Lower error	NA	NA
C	paired_outcome_count	2	384	NA	20	NA	NA	495	NA	Lower error	NA	NA
C	paired_outcome_count	0	189	NA	1	NA	NA	495	NA	Higher error	NA	NA
C	paired_outcome_count	1	168	NA	5	NA	NA	495	NA	Higher error	NA	NA
C	paired_outcome_count	2	111	NA	20	NA	NA	495	NA	Higher error	NA	NA
C	paired_outcome_count	0	0	NA	1	NA	NA	495	NA	Equal	NA	NA
C	paired_outcome_count	1	0	NA	5	NA	NA	495	NA	Equal	NA	NA
C	paired_outcome_count	2	0	NA	20	NA	NA	495	NA	Equal	NA	NA
C	paired_outcome_count	0	63	NA	1	NA	NA	495	NA	No fit	NA	NA
C	paired_outcome_count	1	3	NA	5	NA	NA	495	NA	No fit	NA	NA
C	paired_outcome_count	2	0	NA	20	NA	NA	495	NA	No fit	NA	NA
D	native_spread_truth_coverage_percent	0	13.580246913580247	NA	1	error_free	NA	81	NA	NA	NA	NA
D	native_spread_truth_coverage_percent	1	11.11111111111111	NA	1	iid_low_indel	NA	81	NA	NA	NA	NA
D	native_spread_truth_coverage_percent	2	9.876543209876543	NA	1	iid_high_indel	NA	81	NA	NA	NA	NA
D	native_spread_truth_coverage_percent	0	11.11111111111111	NA	5	error_free	NA	81	NA	NA	NA	NA
D	native_spread_truth_coverage_percent	1	8.641975308641975	NA	5	iid_low_indel	NA	81	NA	NA	NA	NA
D	native_spread_truth_coverage_percent	2	1.2345679012345678	NA	5	iid_high_indel	NA	81	NA	NA	NA	NA
D	native_spread_truth_coverage_percent	0	1.2345679012345678	NA	20	error_free	NA	81	NA	NA	NA	NA
D	native_spread_truth_coverage_percent	1	1.2345679012345678	NA	20	iid_low_indel	NA	81	NA	NA	NA	NA
D	native_spread_truth_coverage_percent	2	0.0	NA	20	iid_high_indel	NA	81	NA	NA	NA	NA
E	estimate_to_truth_ratio	1	0.43083665	native_median_k21	NA	NA	NA	NA	6301	NA	megabase_171	NA
E	estimate_to_truth_ratio	1	0.6230269333333334	native_median_k21	NA	NA	NA	NA	6302	NA	megabase_171	NA
E	estimate_to_truth_ratio	1	0.5181611666666667	native_median_k21	NA	NA	NA	NA	6303	NA	megabase_171	NA
E	estimate_to_truth_ratio	5	0.4950676	native_median_k21	NA	NA	NA	NA	6301	NA	megabase_171	NA
E	estimate_to_truth_ratio	5	0.5631511333333333	native_median_k21	NA	NA	NA	NA	6302	NA	megabase_171	NA
E	estimate_to_truth_ratio	5	0.5133346	native_median_k21	NA	NA	NA	NA	6303	NA	megabase_171	NA
E	estimate_to_truth_ratio	20	0.522103	native_median_k21	NA	NA	NA	NA	6301	NA	megabase_171	NA
E	estimate_to_truth_ratio	20	0.5247931166666666	native_median_k21	NA	NA	NA	NA	6302	NA	megabase_171	NA
E	estimate_to_truth_ratio	20	0.5287530333333333	native_median_k21	NA	NA	NA	NA	6303	NA	megabase_171	NA
E	estimate_to_truth_ratio	1	0.43124657621181	mean_k21_exposure	NA	NA	NA	NA	6301	NA	megabase_171	NA
E	estimate_to_truth_ratio	1	0.6268683756512349	mean_k21_exposure	NA	NA	NA	NA	6302	NA	megabase_171	NA
E	estimate_to_truth_ratio	1	0.5200340129369478	mean_k21_exposure	NA	NA	NA	NA	6303	NA	megabase_171	NA
E	estimate_to_truth_ratio	5	0.49695333081154064	mean_k21_exposure	NA	NA	NA	NA	6301	NA	megabase_171	NA
E	estimate_to_truth_ratio	5	0.5660855863555034	mean_k21_exposure	NA	NA	NA	NA	6302	NA	megabase_171	NA
E	estimate_to_truth_ratio	5	0.5149199411410019	mean_k21_exposure	NA	NA	NA	NA	6303	NA	megabase_171	NA
E	estimate_to_truth_ratio	20	0.5237788366172514	mean_k21_exposure	NA	NA	NA	NA	6301	NA	megabase_171	NA
E	estimate_to_truth_ratio	20	0.5262274864161283	mean_k21_exposure	NA	NA	NA	NA	6302	NA	megabase_171	NA
E	estimate_to_truth_ratio	20	0.5301099288198146	mean_k21_exposure	NA	NA	NA	NA	6303	NA	megabase_171	NA
E	estimate_to_truth_ratio	1	0.8173230251596187	multik_loglinear	NA	NA	NA	NA	6301	NA	megabase_171	NA
E	estimate_to_truth_ratio	1	1.1898745449417556	multik_loglinear	NA	NA	NA	NA	6302	NA	megabase_171	NA
E	estimate_to_truth_ratio	1	0.9716389720811057	multik_loglinear	NA	NA	NA	NA	6303	NA	megabase_171	NA
E	estimate_to_truth_ratio	5	0.936696013680636	multik_loglinear	NA	NA	NA	NA	6301	NA	megabase_171	NA
E	estimate_to_truth_ratio	5	1.068505924469877	multik_loglinear	NA	NA	NA	NA	6302	NA	megabase_171	NA
E	estimate_to_truth_ratio	5	0.9675318781917376	multik_loglinear	NA	NA	NA	NA	6303	NA	megabase_171	NA
E	estimate_to_truth_ratio	20	0.986402631448867	multik_loglinear	NA	NA	NA	NA	6301	NA	megabase_171	NA
E	estimate_to_truth_ratio	20	0.9919940579581835	multik_loglinear	NA	NA	NA	NA	6302	NA	megabase_171	NA
E	estimate_to_truth_ratio	20	0.9983099562067717	multik_loglinear	NA	NA	NA	NA	6303	NA	megabase_171	NA
F	absolute_error_vs_source_oracle_percent	0.0018095204136721055	0.7955194807921552	NA	NA	NA	0	NA	6301	NA	f001	condition_007
