panel	dataset	metric	x	value	read_count
A	Full library (n=407,670)	length_bp	1.528	0.00023548458311869894	1
A	Full library (n=407,670)	length_bp	1.53	0.00024039051193367185	2
A	Full library (n=407,670)	length_bp	1.5330000000000001	0.0002452964407486447	2
A	Full library (n=407,670)	length_bp	1.537	0.0002477494051561312	1
A	Full library (n=407,670)	length_bp	1.54	0.00025020236956361765	1
A	Full library (n=407,670)	length_bp	1.542	0.0002526553339711041	1
A	Full library (n=407,670)	length_bp	1.546	0.00025510829837859054	1
A	Full library (n=407,670)	length_bp	1.547	0.000257561262786077	1
A	Full library (n=407,670)	length_bp	1.555	0.0002649201560085363	3
A	Full library (n=407,670)	length_bp	1.557	0.00026737312041602275	1
A	Full library (n=407,670)	length_bp	1.561	0.0002698260848235092	1
A	Full library (n=407,670)	length_bp	1.571	0.0002771849780459686	3
A	Full library (n=407,670)	length_bp	1.576	0.000279637942453455	1
A	Full library (n=407,670)	length_bp	1.579	0.00028209090686094146	1
A	Full library (n=407,670)	length_bp	1.58	0.0002845438712684279	1
A	Full library (n=407,670)	length_bp	1.581	0.00028699683567591435	1
A	Full library (n=407,670)	length_bp	1.589	0.00029190276449088723	2
A	Full library (n=407,670)	length_bp	1.591	0.0002968086933058601	2
A	Full library (n=407,670)	length_bp	1.595	0.000301714622120833	2
A	Full library (n=407,670)	length_bp	1.598	0.0003041675865283195	1
A	Full library (n=407,670)	length_bp	1.6	0.00030662055093580594	1
A	Full library (n=407,670)	length_bp	1.603	0.0003090735153432924	1
A	Full library (n=407,670)	length_bp	1.605	0.00031397944415826527	2
A	Full library (n=407,670)	length_bp	1.611	0.0003164324085657517	1
A	Full library (n=407,670)	length_bp	1.619	0.00031888537297323816	1
A	Full library (n=407,670)	length_bp	1.623	0.00032379130178821104	2
A	Full library (n=407,670)	length_bp	1.624	0.0003262442661956975	1
A	Full library (n=407,670)	length_bp	1.627	0.00032869723060318393	1
A	Full library (n=407,670)	length_bp	1.6300000000000001	0.00033115019501067037	1
A	Full library (n=407,670)	length_bp	1.6320000000000001	0.00033360315941815687	1
A	Full library (n=407,670)	length_bp	1.6400000000000001	0.0003360561238256433	1
A	Full library (n=407,670)	length_bp	1.643	0.0003409620526406162	2
A	Full library (n=407,670)	length_bp	1.647	0.0003458679814555891	2
A	Full library (n=407,670)	length_bp	1.649	0.0003483209458630755	1
A	Full library (n=407,670)	length_bp	1.6500000000000001	0.00035077391027056197	1
A	Full library (n=407,670)	length_bp	1.653	0.0003532268746780484	1
A	Full library (n=407,670)	length_bp	1.6540000000000001	0.00035567983908553485	1
A	Full library (n=407,670)	length_bp	1.657	0.0003581328034930213	1
A	Full library (n=407,670)	length_bp	1.659	0.00036058576790050774	1
A	Full library (n=407,670)	length_bp	1.661	0.00036303873230799424	1
A	Full library (n=407,670)	length_bp	1.6620000000000001	0.0003654916967154807	1
A	Full library (n=407,670)	length_bp	1.665	0.00037039762553045356	2
A	Full library (n=407,670)	length_bp	1.682	0.00037285058993794	1
A	Full library (n=407,670)	length_bp	1.688	0.00037530355434542645	1
A	Full library (n=407,670)	length_bp	1.689	0.00038020948316039934	2
A	Full library (n=407,670)	length_bp	1.691	0.0003826624475678858	1
A	Full library (n=407,670)	length_bp	1.692	0.0003851154119753722	1
A	Full library (n=407,670)	length_bp	1.694	0.00038756837638285866	1
A	Full library (n=407,670)	length_bp	1.695	0.0003900213407903451	1
A	Full library (n=407,670)	length_bp	1.697	0.0003924743051978316	1
A	Full library (n=407,670)	length_bp	1.705	0.00039492726960531805	1
A	Full library (n=407,670)	length_bp	1.707	0.0003973802340128045	1
A	Full library (n=407,670)	length_bp	1.708	0.00039983319842029093	1
A	Full library (n=407,670)	length_bp	1.713	0.0004022861628277774	1
A	Full library (n=407,670)	length_bp	1.714	0.0004047391272352638	1
A	Full library (n=407,670)	length_bp	1.72	0.0004096450560502367	2
A	Full library (n=407,670)	length_bp	1.721	0.00041209802045772315	1
A	Full library (n=407,670)	length_bp	1.724	0.0004145509848652096	1
A	Full library (n=407,670)	length_bp	1.727	0.00041700394927269603	1
A	Full library (n=407,670)	length_bp	1.729	0.0004194569136801825	1
A	Full library (n=407,670)	length_bp	1.732	0.00042190987808766897	1
A	Full library (n=407,670)	length_bp	1.736	0.00042681580690264186	2
A	Full library (n=407,670)	length_bp	1.737	0.0004292687713101283	1
A	Full library (n=407,670)	length_bp	1.743	0.00043172173571761474	1
A	Full library (n=407,670)	length_bp	1.744	0.0004341747001251012	1
A	Full library (n=407,670)	length_bp	1.748	0.00043662766453258763	1
A	Full library (n=407,670)	length_bp	1.752	0.00043908062894007407	1
A	Full library (n=407,670)	length_bp	1.756	0.0004415335933475605	1
A	Full library (n=407,670)	length_bp	1.7570000000000001	0.00044398655775504696	1
A	Full library (n=407,670)	length_bp	1.76	0.00045134545097750634	3
A	Full library (n=407,670)	length_bp	1.764	0.0004562513797924792	2
A	Full library (n=407,670)	length_bp	1.7650000000000001	0.00045870434419996567	1
A	Full library (n=407,670)	length_bp	1.77	0.0004611573086074521	1
A	Full library (n=407,670)	length_bp	1.7730000000000001	0.00046361027301493855	1
A	Full library (n=407,670)	length_bp	1.7750000000000001	0.000466063237422425	1
A	Full library (n=407,670)	length_bp	1.782	0.00046851620182991144	1
A	Full library (n=407,670)	length_bp	1.786	0.0004709691662373979	1
