coverage	substitution_rate	family_observations	mean_signed_relative_error	median_absolute_relative_error	mean_absolute_relative_error	interval_empirical_coverage	mean_interval_relative_width	mean_oracle_relative_error	mean_estimator_minus_oracle
1	0	9	-0.26277694444444444	0.45591875000000004	0.5231375	0	0.020463055555555554	-0.2576057530090536	-0.0051711914353908565
1	0.001	9	-0.27522069444444447	0.43103125000000003	0.5140120833333334	0	0.03263027777777775	-0.2576057530090536	-0.01761494143539087
1	0.01	9	-0.4098897222222222	0.2782625	0.4797869444444445	0	0.056411666666666645	-0.2576057530090536	-0.15228396921316864
5	0	9	0.011396694444444425	0.060534999999999964	0.17091947222222223	0.1111111111111111	0.024901888888888918	0.014955909700911325	-0.0035592152564669
5	0.001	9	-0.011003388888888896	0.07703624999999992	0.1677512222222222	0.1111111111111111	0.027125222222222203	0.014955909700911325	-0.02595929858980022
5	0.01	9	-0.1777541111111111	0.22711125000000001	0.24178688888888888	0	0.05447180555555557	0.014955909700911325	-0.19271002081202243
20	0	9	0.0127167222222222	0.17809000000000008	0.1299963888888889	0.2222222222222222	0.022956138888888904	0.01770301894798581	-0.0049862967257636075
20	0.001	9	-0.007876861111111117	0.14307499999999998	0.12785547222222224	0	0.025401416666666655	0.01770301894798581	-0.02557988005909692
20	0.01	9	-0.1831310277777778	0.18584100000000006	0.1831310277777778	0.2222222222222222	0.03419747222222221	0.01770301894798581	-0.20083404672576358
