"time","event","data_type","data_value","time_passed","time_per_Mbp","time_per_event_data_value"
1788680622.19869,"Start main function","none",0,0,0,0
1788680622.97846,"03 Fasta loaded","Fasta total length",1e+07,0.779773235321045,0.0779773235321045,0.0779773235321045
1788681004.09337,"Finished 04 sequence window score","Fasta total length",1e+07,381.114914655685,38.1114914655685,38.1114914655685
1788681004.24739,"Finished 05 merge windows into regions","Number of windows to merge",9000,0.154013872146606,0.0154013872146606,17.1126524607341
1788681370.85942,"Finished 06 split regions into arrays","Total length of arrays",2290827,366.612030744553,36.6612030744553,160.034795619465
1788681370.85973,"Finished 07 get templates","Number of templates",0,0.000311374664306641,3.11374664306641e-05,Inf
1788681385.66111,"Finished 07 shift representatives and apply templates","Number of templates times nrow arrays",0,14.8013796806335,1.48013796806335,Inf
1788681385.66542,"Finished 07","Arrays nrow",55,0.00431323051452637,0.000431323051452637,78.4223729913885
1788681385.82727,"Finished 08 classify repeats","Arrays nrow",55,0.161846399307251,0.0161846399307251,2942.66180558638
1788681405.72234,"Finished 08 shift classes","Unique classes number",55,19.8950681686401,1.98950681686401,361728.512157093
1788681460.41334,"Finished 09 map repeats","Repeats number",11436,54.6910054683685,5.46910054683685,4782.35444809099
1788681460.4168,"Finished 11 reassign array representatives","Arrays nrow",55,0.00345635414123535,0.000345635414123535,62.8428025679155
1788681460.64875,"Finished 11 summarise array info","Arrays nrow",55,0.231952428817749,0.0231952428817749,4217.31688759544
1788681460.67551,"Finished 12 saved array info","Arrays nrow",55,0.0267620086669922,0.00267620086669922,486.581975763494
1788681464.12073,"Finished 13 saved repeats info","Repeats number",11436,3.44521307945251,0.344521307945251,301.260325240689
