run_accession	experiment_accession	sample_accession	instrument_platform	instrument_model	library_strategy	library_source	scientific_name	study_title	experiment_title	base_count	read_count	fastq_ftp	fastq_md5
SRR23004521	SRX18960336	SAMN32622558	PACBIO_SMRT	Sequel II	WGS	GENOMIC	Glycine max	Genome assemblies of different soybean cultivars	Sequel II sequencing: Pacbio Sequencing of genomic DNA of soybean cultivar Wm82	136471999387	8271987	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/021/SRR23004521/SRR23004521_subreads.fastq.gz	5c12777a27b2b077387b960cd682bd89
SRR23004522	SRX18960335	SAMN32622557	PACBIO_SMRT	Sequel II	WGS	GENOMIC	Glycine max	Genome assemblies of different soybean cultivars	Sequel II sequencing: Pacbio Sequencing of genomic DNA of soybean cultivar Lee	163995419007	9021517	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/022/SRR23004522/SRR23004522_subreads.fastq.gz	e278ea8b496d03b6f58027e41f770e2d
