run_accession	experiment_accession	sample_accession	instrument_platform	instrument_model	library_strategy	library_source	scientific_name	study_title	experiment_title	base_count	read_count	fastq_ftp	fastq_md5
SRR21509777	SRX17512267	SAMN30760527	ILLUMINA	Illumina HiSeq 2000	ChIP-Seq	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	Illumina HiSeq 2000 sequencing: Mo17 INPUT ChIP-seq replicate 1	21943927321	75266304	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/077/SRR21509777/SRR21509777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/077/SRR21509777/SRR21509777_2.fastq.gz	0df9fce66a655e40bb53202b18c6b8ed;386f81373b9bbb551feef1aafd1eba49
SRR21509778	SRX17512266	SAMN30760526	ILLUMINA	Illumina HiSeq 2000	ChIP-Seq	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	Illumina HiSeq 2000 sequencing: Mo17 CENH3 ChIP-seq replicate 2	8467373862	29243410	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/078/SRR21509778/SRR21509778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/078/SRR21509778/SRR21509778_2.fastq.gz	9d32e9f4177569a41ce497108422e9b4;fbf518f8488244c04856443653715c41
SRR15447406	SRX11746842	SAMN20604715	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 10	16878846150	375307	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/006/SRR15447406/SRR15447406_1.fastq.gz	8ab4f19cf1e56c14056478ab2c7e8436
SRR15447407	SRX11746841	SAMN20604714	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 9	5664661302	263049	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/007/SRR15447407/SRR15447407_1.fastq.gz	e6c4b1bb84639da99cfb5c73b4e7ad20
SRR15447408	SRX11746840	SAMN20604713	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 8	16529327782	510783	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/008/SRR15447408/SRR15447408_1.fastq.gz	1ae96385e13ca1f03551d968514ba311
SRR15447411	SRX11746837	SAMN20604751	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT 1D_replicate 3	76476144166	3462950	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/011/SRR15447411/SRR15447411_1.fastq.gz	7207c6a0a3504c381445edb34d8bcf44
SRR15447412	SRX11746836	SAMN20604750	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT 1D_replicate 2	65310235114	3289863	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/012/SRR15447412/SRR15447412_1.fastq.gz	7d2b68b7c887c04996805e6ba6ac0be7
SRR15447413	SRX11746835	SAMN20604749	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT 1D_replicate 1	105333428601	4720016	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/013/SRR15447413/SRR15447413_1.fastq.gz	3df39deae222d7e1e73353a5979f763b
SRR15447416	SRX11746832	SAMN20604746	PACBIO_SMRT	Sequel II	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	Sequel II sequencing: Mo17_Pacbio CCS_replicate 5	27500600817	1739946	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/016/SRR15447416/SRR15447416_subreads.fastq.gz	69ba2df2b32339cc89918bbe12fbb712
SRR15447421	SRX11746827	SAMN20604742	PACBIO_SMRT	Sequel II	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	Sequel II sequencing: Mo17_Pacbio CCS_replicate 1	19690751263	1099932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/021/SRR15447421/SRR15447421_subreads.fastq.gz	a104bbd6b132e5760ccbfa6add1cd128
