run_accession	experiment_accession	sample_accession	instrument_platform	instrument_model	library_strategy	library_source	scientific_name	study_title	experiment_title	base_count	read_count	fastq_ftp	fastq_md5
SRR25203456	SRX20950526	SAMN36347449	OXFORD_NANOPORE	PromethION	RNA-Seq	TRANSCRIPTOMIC	Oryza sativa Japonica Group	The complete sequence of a rice reference genome	PromethION sequencing: fulllange rna of NIP	9907648139	13195758	ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/056/SRR25203456/SRR25203456_1.fastq.gz	a8a59f575ff287efe951305edbedab27
SRR25203457	SRX20950525	SAMN36347449	ILLUMINA	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC	Oryza sativa Japonica Group	The complete sequence of a rice reference genome	Illumina NovaSeq 6000 sequencing: rna of NIP	11194868100	37316227	ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/057/SRR25203457/SRR25203457_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/057/SRR25203457/SRR25203457_2.fastq.gz	1a8f8bd525a57467b667cbce96224d1c;711bc6d72d7236cdc5f6bb4be6689d76
SRR25203306	SRX20950376	SAMN36344332	ILLUMINA	HiSeq X Ten	ChIP-Seq	GENOMIC	Oryza sativa Japonica Group	The complete sequence of a rice reference genome	HiSeq X Ten sequencing: chip of NIP	12464627400	41548758	ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/006/SRR25203306/SRR25203306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/006/SRR25203306/SRR25203306_2.fastq.gz	928a9b9ec1a076091c107527ace31907;6c5039e0e34fb75ba44d443e57308e8b
SRR25203307	SRX20950375	SAMN36344332	ILLUMINA	HiSeq X Ten	ChIP-Seq	GENOMIC	Oryza sativa Japonica Group	The complete sequence of a rice reference genome	HiSeq X Ten sequencing: chip of NIP	12975797100	43252657	ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/007/SRR25203307/SRR25203307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/007/SRR25203307/SRR25203307_2.fastq.gz	f1d361704a7ccee64021fca01d4b8636;43a756c1cd5b02334963e2ed1b6a6121
SRR25241092	SRX20987365	SAMN36368305	ILLUMINA	Illumina HiSeq 2000	WGS	GENOMIC	Oryza sativa Japonica Group	The complete sequence of a rice reference genome	Illumina HiSeq 2000 sequencing: ngs of NIP	24555534300	81851781	ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/092/SRR25241092/SRR25241092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/092/SRR25241092/SRR25241092_2.fastq.gz	856ded1c815de51331892462682f1d08;0e5e288c657f4d1193e00ae23a192ff8
SRR25203305	SRX20950377	SAMN36344332	ILLUMINA	HiSeq X Ten	ChIP-Seq	GENOMIC	Oryza sativa Japonica Group	The complete sequence of a rice reference genome	HiSeq X Ten sequencing: chip of NIP	13273494900	44244983	ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/005/SRR25203305/SRR25203305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/005/SRR25203305/SRR25203305_2.fastq.gz	8774356cdd254d38fdb0fc008cd36ebf;82275c5a12d8078bc68487f3492dc42c
SRR25241089	SRX20987368	SAMN36368305	ILLUMINA	Illumina HiSeq 2000	Hi-C	GENOMIC	Oryza sativa Japonica Group	The complete sequence of a rice reference genome	Illumina HiSeq 2000 sequencing: hic of NIP	36437541000	121458470	ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/089/SRR25241089/SRR25241089_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/089/SRR25241089/SRR25241089_2.fastq.gz	030a7bd1a77a5cd3103316b1f17af1e5;da1bfdcdd9ce03a70208a1713c48ed26
SRR25241090	SRX20987367	SAMN36368305	PACBIO_SMRT	Sequel II	WGS	GENOMIC	Oryza sativa Japonica Group	The complete sequence of a rice reference genome	Sequel II sequencing: hifi of NIP	32966159623	1785885	ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/090/SRR25241090/SRR25241090_subreads.fastq.gz	00d3f9813c194e0d5df4b547265babac
SRR25203308	SRX20950374	SAMN36344332	ILLUMINA	HiSeq X Ten	ChIP-Seq	GENOMIC	Oryza sativa Japonica Group	The complete sequence of a rice reference genome	HiSeq X Ten sequencing: chip of NIP	13196584800	43988616	ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/008/SRR25203308/SRR25203308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/008/SRR25203308/SRR25203308_2.fastq.gz	8e3710467a891919cc876ab0e735eaab;7545d0569717d7278478b25c012f308c
SRR25241091	SRX20987366	SAMN36368305	OXFORD_NANOPORE	GridION	WGS	GENOMIC	Oryza sativa Japonica Group	The complete sequence of a rice reference genome	GridION sequencing: ont of NIP	85612578236	3653210	ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/091/SRR25241091/SRR25241091_1.fastq.gz	e6a66098d036007743432b6151505d04
