run_accession	experiment_accession	sample_accession	instrument_platform	instrument_model	library_strategy	library_source	scientific_name	study_title	experiment_title	base_count	read_count	fastq_ftp	fastq_md5
ERR8666127	ERX8331482	SAMEA13018400	PACBIO_SMRT	Sequel II	WGS	GENOMIC	Arabidopsis thaliana	Chromosome level assemblies and gapless centromeres of Arabidopsis thaliana accessions Ey15-2 (9994) and Col-0 (6909) with PacBio long read sequencing technologies	Sequel II sequencing: Raw reads: Col-0_6909_HiFi	17746722015	982810	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/007/ERR8666127/ERR8666127.fastq.gz	e969dc4862fe5940049f647b88ef8797
ERR8666125	ERX8331480	SAMEA13018399	PACBIO_SMRT	Sequel II	WGS	GENOMIC	Arabidopsis thaliana	Chromosome level assemblies and gapless centromeres of Arabidopsis thaliana accessions Ey15-2 (9994) and Col-0 (6909) with PacBio long read sequencing technologies	Sequel II sequencing: Raw reads: Ey15-2_9994_HiFi	18636790429	837586	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/005/ERR8666125/ERR8666125.fastq.gz	e9e5c1cd82e175bb8cd9583bf372aff6
ERR8666067	ERX8331422	SAMEA13018399	ILLUMINA	Illumina HiSeq 3000	WGS	GENOMIC	Arabidopsis thaliana	Chromosome level assemblies and gapless centromeres of Arabidopsis thaliana accessions Ey15-2 (9994) and Col-0 (6909) with PacBio long read sequencing technologies	Illumina HiSeq 3000 sequencing: Raw reads: Ey15-2_9994_PCRfree	23666151000	157774340	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/007/ERR8666067/ERR8666067_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/007/ERR8666067/ERR8666067_2.fastq.gz	01a5ca71dd8f3cd3dbdd1500162f4d07;702fec3de3037c6496c70ebc17827fc8
