stage	exit_code	wall_seconds	user_cpu_seconds	system_cpu_seconds	peak_process_tree_rss_mib	peak_process_count	peak_scratch_bytes	sample_count	stdout_log	stderr_log
tidehunter	0	1.270096	0.040628	0.193295	23.875000	1	2580	10	tidehunter.stdout.log	tidehunter.stderr.log
clustering	0	32.045112	0.765441	4.165115	23.406250	1	8582	236	clustering.stdout.log	clustering.stderr.log
