scenario	dataset_id	tool	seed	split	successful_runs	attempted_runs	deterministic	median_runtime_seconds	median_peak_rss_mib	array_recall	array_precision	array_f1	read_detection_recall	read_detection_precision	negative_read_call_rate	sequence_family_recall	matched_period_mae_bp	matched_boundary_mae_bp	cyclic_monomer_recall	homologous_consensus_fraction	mean_best_cyclic_edit_similarity	base_union_recall	base_union_precision	base_union_f1	duplicate_bp_fraction
dispersed_control	dispersed_control_s1201	tidehunter	1201	development	3	3	True	0.6842056249734014	107.625	NA	0.0	0.0	NA	0.0	0.87	NA	NA	NA	NA	0.0	NA	NA	0.0	0.0	0.017167005168246017
divergent_units	divergent_units_s1201	tandemx	1201	development	3	3	True	1.288414082955569	29.765625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.02857142857142857	2.9214285714285713	1.0	1.0	1.0	0.9983221943748259	0.9988298146509992	0.9985759400014623	0.0
divergent_units	divergent_units_s1201	tidehunter	1201	development	3	3	True	0.37144933408126235	74.765625	0.9285714285714286	0.4744525547445255	0.6280193236714976	1.0	1.0	0.0	1.0	0.03076923076923077	191.44615384615383	1.0	0.7073170731707317	1.0	0.9816764132553606	0.9844246329561083	0.9830486023724287	0.20858932991513437
indel_01pct	indel_01pct_s1201	tandemx	1201	development	3	3	True	1.1337000411003828	29.9375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.3642857142857143	1.0	1.0	1.0	1.0	0.9986720987791652	0.9993356082662854	0.0
indel_01pct	indel_01pct_s1201	tidehunter	1201	development	3	3	True	0.2921074170153588	66.09375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.014285714285714285	2.3142857142857145	1.0	1.0	1.0	0.9998050750113127	0.9979432017955292	0.9988732707836332	0.0
indel_1pct	indel_1pct_s1201	tandemx	1201	development	3	3	True	1.1742542078718543	29.953125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.014285714285714285	1.25	1.0	1.0	1.0	0.9999164519947086	0.9988663314346123	0.9993911158584744	0.0
indel_1pct	indel_1pct_s1201	tidehunter	1201	development	3	3	True	0.29458908294327557	68.84375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.014285714285714285	0.9642857142857143	1.0	1.0	1.0	0.9998050546543201	0.9992554398123986	0.9995301716787488	0.0
indel_4pct	indel_4pct_s1201	tandemx	1201	development	3	3	True	1.0869820839725435	29.421875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.2	1.7285714285714286	1.0	1.0	1.0	0.9998746832270461	0.9984427357795359	0.9991581964532938	0.0
indel_4pct	indel_4pct_s1201	tidehunter	1201	development	3	3	True	0.2906973750796169	76.09375	1.0	0.9459459459459459	0.9722222222222222	1.0	0.9859154929577465	0.03333333333333333	1.0	0.04285714285714286	0.6285714285714286	1.0	0.6	1.0	0.9997215182823248	0.9946663341784077	0.9971875195311144	0.038790348354106746
low_complexity_control	low_complexity_control_s1201	tandemx	1201	development	3	3	True	0.14685820881277323	25.125	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
low_complexity_control	low_complexity_control_s1201	tidehunter	1201	development	3	3	True	0.5203295000828803	22.953125	NA	0.0	0.0	NA	0.0	1.0	NA	NA	NA	NA	0.0	NA	NA	0.0	0.0	0.0001999600079984003
related_families	related_families_s1201	tandemx	1201	development	3	3	True	1.1108337079640478	30.046875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.35	1.0	1.0	1.0	1.0	0.9986859395532195	0.9993425378040762	0.0
related_families	related_families_s1201	tidehunter	1201	development	3	3	True	0.31898474995978177	66.296875	1.0	0.9859154929577465	0.9929078014184397	1.0	0.9859154929577465	0.03333333333333333	1.0	0.0	1.3642857142857143	1.0	0.75	1.0	0.9998955722639933	0.9858463692711086	0.9928212714333609	0.0
short_arrays	short_arrays_s1201	tandemx	1201	development	3	3	True	0.5045508749317378	27.390625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.2357142857142858	1.0	1.0	1.0	1.0	0.9952054984341657	0.9975969885961136	0.0
short_arrays	short_arrays_s1201	tidehunter	1201	development	3	3	True	0.14884362486191094	47.21875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0214285714285714	1.0	1.0	1.0	0.9992481203007518	0.9967776882691186	0.9980113754884646	0.0
substitution_1pct	substitution_1pct_s1201	tandemx	1201	development	3	3	True	1.1718872080091387	29.4375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.3428571428571427	1.0	1.0	1.0	0.9999443052074631	0.9987483659221762	0.999345977763244	0.0
substitution_1pct	substitution_1pct_s1201	tidehunter	1201	development	3	3	True	0.2968881670385599	58.421875	1.0	0.9859154929577465	0.9929078014184397	1.0	0.9859154929577465	0.03333333333333333	1.0	0.0	1.3	1.0	0.75	1.0	0.9997841826789196	0.9939852434280652	0.9968762798575583	0.0
substitution_5pct	substitution_5pct_s1201	tandemx	1201	development	3	3	True	1.2750692497938871	29.953125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.8142857142857143	1.0	1.0	1.0	0.9995265942634364	0.9987061589615882	0.9991162081851648	0.0
substitution_5pct	substitution_5pct_s1201	tidehunter	1201	development	3	3	True	0.32022049999795854	71.96875	1.0	0.8333333333333334	0.9090909090909091	1.0	1.0	0.0	1.0	0.0	2.2928571428571427	1.0	0.25	1.0	0.9993107769423559	0.9937897229260998	0.9965426030450086	0.14132845057695395
two_arrays	two_arrays_s1201	tandemx	1201	development	3	3	True	1.2420622920617461	29.78125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.167857142857143	1.0	1.0	1.0	1.0	0.9982955167399021	0.9991470314346306	0.0
two_arrays	two_arrays_s1201	tidehunter	1201	development	3	3	True	0.4130960828624666	68.25	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.3678571428571429	1.0	1.0	1.0	0.9997128237259816	0.9982898228819613	0.9990008165650526	0.0
