panel	scenario	tool	metric	value	seed	status
C	low_complexity_control	tandemx	negative_read_call_rate	0.0	mean_of_3101_3102_3103	observed
C	dispersed_control	trf	negative_read_call_rate	0.0	mean_of_3101_3102_3103	observed
C	at_rich_control	trf	negative_read_call_rate	0.0	mean_of_3101_3102_3103	observed
C	low_complexity_control	trf	negative_read_call_rate	NA	mean_of_3101_3102_3103	all_repetitions_failed
C	dispersed_control	tidehunter	negative_read_call_rate	0.79	mean_of_3101_3102_3103	observed
C	at_rich_control	tidehunter	negative_read_call_rate	0.4633333333333333	mean_of_3101_3102_3103	observed
C	low_complexity_control	tidehunter	negative_read_call_rate	1.0	mean_of_3101_3102_3103	observed
D	at_rich_control	tandemx_over_tidehunter	median_runtime_seconds_ratio	2.112038818825062	3101	negative_control
D	at_rich_control	tandemx_over_tidehunter	median_runtime_seconds_ratio	1.8581441116476225	3102	negative_control
D	at_rich_control	tandemx_over_tidehunter	median_runtime_seconds_ratio	2.0153135888785023	3103	negative_control
D	clean_171	tandemx_over_tidehunter	median_runtime_seconds_ratio	3.9737755599178373	3101	positive
D	clean_171	tandemx_over_tidehunter	median_runtime_seconds_ratio	3.998478742189114	3102	positive
D	clean_171	tandemx_over_tidehunter	median_runtime_seconds_ratio	4.068881972723372	3103	positive
D	clean_421	tandemx_over_tidehunter	median_runtime_seconds_ratio	1.242085209786766	3101	positive
D	clean_421	tandemx_over_tidehunter	median_runtime_seconds_ratio	1.1628610403681736	3102	positive
D	clean_421	tandemx_over_tidehunter	median_runtime_seconds_ratio	1.1724025525959592	3103	positive
D	clean_60	tandemx_over_tidehunter	median_runtime_seconds_ratio	3.0095767207939863	3101	positive
D	clean_60	tandemx_over_tidehunter	median_runtime_seconds_ratio	2.764378860531158	3102	positive
D	clean_60	tandemx_over_tidehunter	median_runtime_seconds_ratio	2.702282537395237	3103	positive
D	clean_729	tandemx_over_tidehunter	median_runtime_seconds_ratio	1.0145797468314057	3101	positive
D	clean_729	tandemx_over_tidehunter	median_runtime_seconds_ratio	1.0062831094949856	3102	positive
D	clean_729	tandemx_over_tidehunter	median_runtime_seconds_ratio	0.9993576320445652	3103	positive
D	dispersed_control	tandemx_over_tidehunter	median_runtime_seconds_ratio	1.3217494341741602	3101	negative_control
D	dispersed_control	tandemx_over_tidehunter	median_runtime_seconds_ratio	1.3454864444937482	3102	negative_control
D	dispersed_control	tandemx_over_tidehunter	median_runtime_seconds_ratio	1.4383555066046698	3103	negative_control
D	divergent_units	tandemx_over_tidehunter	median_runtime_seconds_ratio	3.6993291992353337	3101	positive
D	divergent_units	tandemx_over_tidehunter	median_runtime_seconds_ratio	3.798148671292091	3102	positive
D	divergent_units	tandemx_over_tidehunter	median_runtime_seconds_ratio	3.7131491720715792	3103	positive
D	indel_01pct	tandemx_over_tidehunter	median_runtime_seconds_ratio	4.304295543450813	3101	positive
D	indel_01pct	tandemx_over_tidehunter	median_runtime_seconds_ratio	4.1208250999459075	3102	positive
D	indel_01pct	tandemx_over_tidehunter	median_runtime_seconds_ratio	3.8344703053315348	3103	positive
D	indel_1pct	tandemx_over_tidehunter	median_runtime_seconds_ratio	3.9857522896821047	3101	positive
D	indel_1pct	tandemx_over_tidehunter	median_runtime_seconds_ratio	3.7143367740163677	3102	positive
D	indel_1pct	tandemx_over_tidehunter	median_runtime_seconds_ratio	3.919002638399462	3103	positive
D	indel_4pct	tandemx_over_tidehunter	median_runtime_seconds_ratio	4.038263083262671	3101	positive
D	indel_4pct	tandemx_over_tidehunter	median_runtime_seconds_ratio	3.6670626567784947	3102	positive
D	indel_4pct	tandemx_over_tidehunter	median_runtime_seconds_ratio	3.849809914371471	3103	positive
D	low_complexity_control	tandemx_over_tidehunter	median_runtime_seconds_ratio	0.2674810433137323	3101	negative_control
D	low_complexity_control	tandemx_over_tidehunter	median_runtime_seconds_ratio	0.2551429164246345	3102	negative_control
D	low_complexity_control	tandemx_over_tidehunter	median_runtime_seconds_ratio	0.28226690121708997	3103	negative_control
D	related_families	tandemx_over_tidehunter	median_runtime_seconds_ratio	4.009086593783722	3101	positive
D	related_families	tandemx_over_tidehunter	median_runtime_seconds_ratio	3.960511574421557	3102	positive
D	related_families	tandemx_over_tidehunter	median_runtime_seconds_ratio	4.302076684292639	3103	positive
D	short_arrays	tandemx_over_tidehunter	median_runtime_seconds_ratio	3.453568000835158	3101	positive
D	short_arrays	tandemx_over_tidehunter	median_runtime_seconds_ratio	3.2103088216549387	3102	positive
D	short_arrays	tandemx_over_tidehunter	median_runtime_seconds_ratio	3.648346442334085	3103	positive
D	substitution_1pct	tandemx_over_tidehunter	median_runtime_seconds_ratio	3.811213774952173	3101	positive
D	substitution_1pct	tandemx_over_tidehunter	median_runtime_seconds_ratio	4.072776680800029	3102	positive
D	substitution_1pct	tandemx_over_tidehunter	median_runtime_seconds_ratio	3.94547653199248	3103	positive
D	substitution_5pct	tandemx_over_tidehunter	median_runtime_seconds_ratio	4.19383207690263	3101	positive
D	substitution_5pct	tandemx_over_tidehunter	median_runtime_seconds_ratio	4.695401757269471	3102	positive
D	substitution_5pct	tandemx_over_tidehunter	median_runtime_seconds_ratio	4.447431003184392	3103	positive
D	two_arrays	tandemx_over_tidehunter	median_runtime_seconds_ratio	3.2019992467346965	3101	positive
D	two_arrays	tandemx_over_tidehunter	median_runtime_seconds_ratio	3.1336332679384555	3102	positive
D	two_arrays	tandemx_over_tidehunter	median_runtime_seconds_ratio	3.273042613743157	3103	positive
E	at_rich_control	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.4036779546983629	3101	negative_control
E	at_rich_control	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.3827874116891458	3102	negative_control
E	at_rich_control	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.38195195845055185	3103	negative_control
E	clean_171	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.4725519287833828	3101	positive
E	clean_171	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.4402603440260344	3102	positive
E	clean_171	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.46701913393756295	3103	positive
E	clean_421	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.439117929050815	3101	positive
E	clean_421	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.3856726364014994	3102	positive
E	clean_421	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.3825885328836425	3103	positive
E	clean_60	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.5396215257244235	3101	positive
E	clean_60	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.49504132231404957	3102	positive
E	clean_60	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.4778898370830101	3103	positive
E	clean_729	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.2739092747760763	3101	positive
E	clean_729	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.29119361767413315	3102	positive
E	clean_729	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.24356486871038677	3103	positive
E	dispersed_control	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.28951380653904796	3101	negative_control
E	dispersed_control	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.31878209831254584	3102	negative_control
E	dispersed_control	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.29499664204163867	3103	negative_control
E	divergent_units	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.39141361256544505	3101	positive
E	divergent_units	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.44619731575229576	3102	positive
E	divergent_units	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.38305967160592713	3103	positive
E	indel_01pct	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.4527268397237437	3101	positive
